1,recordings/22_53 27_02_2022/camera_1/images/39.png,"[-205.52458797821706, 3027.3819936315363, 1517.3311784813943]","[0.07560314489174215, -0.004672955373628705, -3.089738364258361]"
3,recordings/22_53 27_02_2022/camera_1/images/39.png,"[-2484.9412261685543, 2382.60301403208, 1001.3399197358942]","[-0.006408241692274226, -0.010393639805402238, 1.4232688874807817]"
4,recordings/22_53 27_02_2022/camera_1/images/39.png,"[2931.886464424342, 482.99248371521054, 439.13645534643166]","[-0.027936462282624825, -0.002583622535766895, -1.1392644536637122]"
1,recordings/22_53 27_02_2022/camera_1/images/61.png,"[-205.6548909553225, 3027.428689883772, 1517.2866533151691]","[0.0755308999392253, -0.0038507010547368476, -3.0898094211709015]"
2,recordings/22_53 27_02_2022/camera_1/images/61.png,"[3060.6234580261903, -2014.6158254462669, 142.6284064355918]","[0.005836314184567038, 0.011853843233849285, 1.336980498910201]"
3,recordings/22_53 27_02_2022/camera_1/images/61.png,"[-162.93454261719097, 5291.703255648138, 992.1454227961403]","[-0.004402388797171798, 0.00880537503637149, 0.14002156684956527]"
1,recordings/22_53 27_02_2022/camera_1/images/308.png,"[-205.47727947270343, 3027.1968381872543, 1517.3909102416055]","[0.07538671906668253, -0.005102377637849459, -3.0897172785090494]"
2,recordings/22_53 27_02_2022/camera_1/images/308.png,"[3060.8124756876337, -2014.7441097140568, 142.592845161278]","[0.0057371846115911495, 0.011268485042782371, 1.336843299344905]"
4,recordings/22_53 27_02_2022/camera_1/images/308.png,"[-3960.070212381951, 5263.217442509166, 436.1523571110961]","[-0.011242507307005139, 0.01679141877392903, -1.2999557175052276]"
