3,recordings/22_53 27_02_2022/camera_7/images/0.png,"[-4366.839256601174, -3125.013637748917, 1002.5427958680889]","[-0.008154131311085442, 0.005264005571728263, -0.28915283744246884]"
4,recordings/22_53 27_02_2022/camera_7/images/188.png,"[-7752.247144734834, -502.4583982734531, 438.82977322190413]","[-0.028910941890314602, 0.001205802182830823, -1.3005704748040237]"
3,recordings/22_53 27_02_2022/camera_7/images/345.png,"[-5831.222007110659, 826.8618476275554, 995.3036283140945]","[0.012024087853304813, -0.0016695033418514874, -2.665226856755573]"
4,recordings/22_53 27_02_2022/camera_7/images/345.png,"[-7598.925039980367, -1457.365254092416, 443.3619056908502]","[-0.016545716784141205, -0.007327604491130882, -0.21255400347719264]"
