1,recordings/22_53 27_02_2022/camera_4/images/60.png,"[4534.109335130321, -1056.9342335106771, 1472.1342301150614]","[0.22130942700787848, 0.01143871874836551, -1.547182163234751]"
2,recordings/22_53 27_02_2022/camera_4/images/60.png,"[3060.6731702119737, -2014.6312690120694, 142.65532900602156]","[0.00597680258226073, 0.011642852588040185, 1.3369222096260853]"
4,recordings/22_53 27_02_2022/camera_4/images/60.png,"[6785.838709486665, -836.1043752047045, 436.6288969526632]","[0.0049116762726279725, 0.026173428526123203, -3.0091181541590344]"
1,recordings/22_53 27_02_2022/camera_4/images/87.png,"[4534.038077060598, -1057.0146474705161, 1471.9910542181917]","[0.22148165337354847, 0.010649356325442621, -1.5469434504909045]"
2,recordings/22_53 27_02_2022/camera_4/images/87.png,"[3060.630226003693, -2014.623280425594, 142.59122915080331]","[0.005831511124036132, 0.011768715974652068, 1.3369339971302845]"
4,recordings/22_53 27_02_2022/camera_4/images/87.png,"[8619.963949612355, 2705.6899446261245, 439.12468585339707]","[-0.013003732121498104, 0.025404547342900593, -2.387800507870474]"
1,recordings/22_53 27_02_2022/camera_4/images/244.png,"[4534.106090599026, -1056.9387057681897, 1472.1042694109915]","[0.2213438565210274, 0.011409264427733695, -1.5472038374387844]"
2,recordings/22_53 27_02_2022/camera_4/images/244.png,"[3060.7563525306878, -2014.7158840129239, 142.56410335856987]","[0.0056549008731448785, 0.01135176768165528, 1.3368791609323247]"
3,recordings/22_53 27_02_2022/camera_4/images/244.png,"[6272.542381648297, -1349.7388138662516, 995.8390418609072]","[-0.010164202135835184, -0.003547880128244073, 1.420377521328992]"
4,recordings/22_53 27_02_2022/camera_4/images/244.png,"[-436.15339144791716, 619.0367655409633, 436.14985925430943]","[0.015501421982400444, -0.0006281628791524908, 2.1781266027770347]"
