0,"[-6686.742955566662, 5959.497944234329, 4850]","[[0.9986295347545744, 0.05233595624294385, 0.0], [0.04067267703319255, -0.7760809099261712, -0.6293203910498377], [-0.03293608444877661, 0.628457929325666, -0.7771459614569711]]"
1,"[-1987.1573497487173, 5884.120772114977, 4561.501890790401]","[[0.9994507135467211, -0.027050390259205657, 0.019145432295327034], [-0.011896096062881582, -0.8320468710423748, -0.5545777558530964], [0.030931441760981223, 0.5540453779027659, -0.8319116330086799]]"
2,"[2290.77197003578, 5895.690499337283, 4535.154222876388]","[[0.9914105998172326, -0.1104064133066334, 0.07011024512009781], [-0.05319920774886086, -0.8301467325181208, -0.5550011232280356], [0.11947747429925398, 0.546504186983277, -0.8288898037404121]]"
3,"[7371.4194775151345, 6182.77617805888, 4363.990127490695]","[[0.9606330757300722, -0.11694063014923445, -0.25200988638083566], [-0.2522154839643561, -0.747452185648069, -0.6145751213794374], [-0.11649653841212351, 0.6539419845752562, -0.7475215296884553]]"
4,"[9108.99598421382, -5762.115808475929, 4846.87969223898]","[[-0.9439490669433342, -0.1908277801821743, -0.2693416368249673], [-0.3132047862680901, 0.7754241165988348, 0.5482884288909231], [0.10422533701345771, 0.6019154406622749, -0.7917290454548013]]"
5,"[4710.4921159219875, -5962.684706935452, 4358.116134441375]","[[-0.9977634332902533, 0.059491912020423025, -0.03047693542665281], [0.017177670108667366, 0.6688328649966196, 0.7432143206034523], [0.06459921701138424, 0.7410285494531015, -0.6683589081152043]]"
6,"[526.8575593558775, -5600.212355673482, 4850]","[[-1.0000000,  0.0000000, -0.0000000], [0.0000000,  0.7986355,  0.6018150], [ 0.0000000,  0.6018150, -0.7986355]]"
7,"[-4071.0293359016882, -5713.337420494916, 4797.7641823037575]","[[-0.9962205744824704, 0.0856512050665356, -0.014437383712686474], [0.05698702792596087, 0.7699524046372579, 0.6355515504201606], [0.06555185448164555, 0.6323267870839845, -0.7719234344869073]]"
